,Correlation
POS_numNouns,0.04644571474037166
POS_numProperNouns,-0.22166600311466877
POS_numPronouns,-0.07379865366487319
POS_numConjunct,0.13956860127131618
POS_numAdjectives,-0.11966329495401404
POS_numVerbs,0.1403401247719868
POS_numAdverbs,-0.32783113373972417
POS_numModals,
POS_numPrepositions,-0.10623878604234514
POS_numInterjections,-0.15021310725312526
POS_numPerPronouns,-0.07379865366487319
POS_numWhPronouns,
POS_numLexicals,-0.26093784285896615
POS_numFunctionWords,-0.19180074226671753
POS_numDeterminers,0.2586146774247937
POS_numVerbsVB,0.11750302915213628
POS_numVerbsVBG,
POS_numVerbsVBN,0.018902325766430327
POS_numVerbsVBP,
POS_numVerbsVBZ,
POS_advVar,-0.32775397884828156
POS_adjVar,-0.10311751241307164
POS_modVar,-0.29186734030369765
POS_nounVar,0.1644942285556818
POS_verbVar1,-0.10285085828143747
POS_verbVar2,0.17258980710001895
POS_squaredVerbVar1,0.14813739156984476
POS_correctedVV1,0.14813739156984476
localNounOverlapCount,
localArgumentOverlapCount,-0.01883261861080754
localStemOverlapCount,-0.02404325445219288
localContentWordOverlap,-0.023377162070319955
globalNounOverlapCount,
globalArgumentOverlapCount,-0.03209537762789803
globalStemOverlapCount,-0.05940730955163817
globalContentWordOverlap,-0.05362088329660848
TTR,-0.018055434137658324
CorrectedTTR,-0.027083151206487483
RootTTR,-0.027083151206487483
BilogTTR,-0.028780670655327155
MTLD,0.295956414857252
conjunctToSent,0.1900575414421752
conjunctTypesToSent,0.24865279042612956
conjunctToWords,0.16873218959666583
conjunctNum,0.12578696094983335
conjunctTypesToTotal,0.05204012322576173
conjunctNeighborSent,-3.880176862353102e-05
Segment,
WC,0.04000930000985683
WPS,0.10289860907388827
BigWords,0.29279482857027916
emopos,-0.11838752280200318
emoneg,-0.12743407984224028
anxiete,0.05870628665524682
colère,-0.05389666788165757
tristesse,-0.06332149538030914
cognition,0.14385824957902826
perspicacite,0.14675110468601665
cause,0.16625870818256003
divergence,0.11869982852700295
tentative,-0.0650700642905657
certitude,0.13700450044812557
inhibition,-0.035220265124644
inclusion,0.1197618003474484
exclusion,-0.07114575851286739
perception,-0.13564026996057602
remplisseur,
Unnamed: 5,
Unnamed: 6,
Unnamed: 7,
Unnamed: 8,
Unnamed: 9,
Unnamed: 10,
Unnamed: 11,
Unnamed: 12,
Unnamed: 13,
Unnamed: 14,
Unnamed: 15,
Unnamed: 16,
Unnamed: 17,
Unnamed: 18,
Unnamed: 19,
Unnamed: 20,
Unnamed: 21,
Unnamed: 38,
Unnamed: 39,
Unnamed: 40,
Unnamed: 41,
Unnamed: 42,
DISC_RefExprPronounsPerNoun,-0.09621531903747377
DISC_RefExprPronounsPerSen,0.10024401831821078
DISC_RefExprPronounsPerWord,-0.026386103722935397
DISC_RefExprPerPronounsPerSen,0.10024401831821078
DISC_RefExprPerProPerWord,-0.026386103722935397
DISC_RefExprPossProPerSen,
DISC_RefExprPossProPerWord,
DISC_RefExprDefArtPerSen,
DISC_RefExprDefArtPerWord,
DISC_RefExprProperNounsPerNoun,-0.244187187962253
