,Test-1,,,Test-2,,,Test-3,,,,,,,,,,,,,,,
llama2,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,,,,,,,,,,,
p-1,full,MAE,0.8622380192747722,full,MAE,0.8305265923797435,full,MAE,0.8499700603869651,,0.847578224013827,$0.85$&,,,,,,,,,,
all,full,MSE,1.0227165919032706,full,MSE,0.9676102582715431,full,MSE,1.022318140216621,,1.00421499679714,$1.00$&,,,,,,,,,,
,full,RMSE,1.0112945129403554,full,RMSE,0.9836718244778302,full,RMSE,1.0110974929336047,,1.00202127678393,$1.00$&,,,,,,,,,,
,full,MAPE,20.687075324764457,full,MAPE,19.935834455708747,full,MAPE,20.405135000459676,,20.3426815936443,$20.34$&,,,,,,,,,,
,full,R2,-3.1169787260617188,full,R2,-2.8951463973118012,full,R2,-3.1153747459070145,,-3.04249995642684,$-3.04$&,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,full,MedAE,0.835140652479825,full,MedAE,0.7723066123600499,full,MedAE,0.7969285832981701,,0.801458616046015,$0.80$&,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Test-1 p-2,,,Test-2,,,Test-3,,,,,,
llama2,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,Slice,Metric,Value,,,,
p-1,full,MAE,1.0020245993792998,full,MAE,0.8508661110134166,full,MAE,0.9671945185619464,full,MAE,0.6138153624544027,full,MAE,0.8572765861986776,full,MAE,0.7575463658501594,,,0.84145,$0.84$&
test,full,MSE,1.2265906786059553,full,MSE,0.925200434930246,full,MSE,1.2044619963243597,full,MSE,0.5736882376685066,full,MSE,1.1527782709079053,full,MSE,0.771938349389344,,,0.975783333333333,$0.98$&
,full,RMSE,1.1075155432796215,full,RMSE,0.9618733985978851,full,RMSE,1.0974798386869618,full,RMSE,0.7574221000660771,full,RMSE,1.0736751235396604,full,RMSE,0.8786002215964573,,,0.979433333333333,$0.98$&
,full,MAPE,23.89839522901325,full,MAPE,20.081060113411116,full,MAPE,22.901733021751177,full,MAPE,14.666625153719137,full,MAPE,20.91094766373031,full,MAPE,18.530379093093703,,,20.16485,$20.16$&
,full,R2,-3.840830576572259,full,R2,-2.5461952476981553,full,R2,-3.637479331855844,full,R2,-1.1249481900597078,full,R2,-3.518804072647087,full,R2,-1.8405685560860081,,,-2.75146666666667,$-2.75$&
,,,,,,,,,,,,,,,,,,,,,0,$0.00$&
,,,,,,,,,,,,,,,,,,,,,0,$0.00$&
,full,MedAE,1.0,full,MedAE,0.6968455021364699,full,MedAE,1.0,full,MedAE,0.4520525295346598,full,MedAE,0.6904157598234297,full,MedAE,0.6904157598234297,,,0.75495,$0.75$&
